alpha,lib_cut,max_iter,tol,performance_score
0.02,30.0,50.0,0.001,0.6933423157894736
0.02,30.0,50.0,0.0001,0.6933423157894736
0.02,30.0,50.0,1e-05,0.6933423157894736
0.02,30.0,50.0,1e-06,0.6933423157894736
0.02,30.0,75.0,0.001,0.693344
0.02,30.0,75.0,0.0001,0.693344
0.02,30.0,75.0,1e-05,0.693344
0.02,30.0,75.0,1e-06,0.693344
0.02,30.0,100.0,0.001,0.693344
0.02,30.0,100.0,0.0001,0.693344
0.02,30.0,100.0,1e-05,0.693344
0.02,30.0,100.0,1e-06,0.693344
0.02,30.0,125.0,0.001,0.693344
0.02,30.0,125.0,0.0001,0.693344
0.02,30.0,125.0,1e-05,0.693344
0.02,30.0,125.0,1e-06,0.693344
0.02,30.0,150.0,0.001,0.693344
0.02,30.0,150.0,0.0001,0.693344
0.02,30.0,150.0,1e-05,0.693344
0.02,30.0,150.0,1e-06,0.693344
0.02,30.0,175.0,0.001,0.693344
0.02,30.0,175.0,0.0001,0.693344
0.02,30.0,175.0,1e-05,0.693344
0.02,30.0,175.0,1e-06,0.693344
0.02,30.0,200.0,0.001,0.693344
0.02,30.0,200.0,0.0001,0.693344
0.02,30.0,200.0,1e-05,0.693344
0.02,30.0,200.0,1e-06,0.693344
0.02,40.0,20.0,0.001,0.6933389473684209
0.02,40.0,20.0,0.0001,0.6933389473684209
0.02,40.0,20.0,1e-05,0.6933389473684209
0.02,40.0,20.0,1e-06,0.6933389473684209
0.02,40.0,40.0,0.001,0.6933423157894736
0.02,40.0,40.0,0.0001,0.6933423157894736
0.02,40.0,40.0,1e-05,0.6933423157894736
0.02,40.0,40.0,1e-06,0.6933423157894736
0.02,40.0,50.0,0.001,0.6933423157894736
0.02,40.0,50.0,0.0001,0.6933423157894736
0.02,40.0,50.0,1e-05,0.6933423157894736
0.02,40.0,50.0,1e-06,0.6933423157894736
0.02,40.0,75.0,0.001,0.693344
0.02,40.0,75.0,0.0001,0.693344
0.02,40.0,75.0,1e-05,0.693344
0.02,40.0,75.0,1e-06,0.693344
0.02,40.0,100.0,0.001,0.693344
0.02,40.0,100.0,0.0001,0.693344
0.02,40.0,100.0,1e-05,0.693344
0.02,40.0,100.0,1e-06,0.693344
0.02,40.0,125.0,0.001,0.693344
0.02,40.0,125.0,0.0001,0.693344
0.02,40.0,125.0,1e-05,0.693344
0.02,40.0,125.0,1e-06,0.693344
0.02,40.0,150.0,0.001,0.693344
0.02,40.0,150.0,0.0001,0.693344
0.02,40.0,150.0,1e-05,0.693344
0.02,40.0,150.0,1e-06,0.693344
0.02,40.0,175.0,0.001,0.693344
0.02,40.0,175.0,0.0001,0.693344
0.02,40.0,175.0,1e-05,0.693344
0.02,40.0,175.0,1e-06,0.693344
0.02,40.0,200.0,0.001,0.693344
0.02,40.0,200.0,0.0001,0.693344
0.02,40.0,200.0,1e-05,0.693344
0.02,40.0,200.0,1e-06,0.693344
0.02,50.0,20.0,0.001,0.6933389473684209
0.02,50.0,20.0,0.0001,0.6933389473684209
0.02,50.0,20.0,1e-05,0.6933389473684209
0.02,50.0,20.0,1e-06,0.6933389473684209
0.02,50.0,40.0,0.001,0.6933423157894736
0.02,50.0,40.0,0.0001,0.6933423157894736
0.02,50.0,40.0,1e-05,0.6933423157894736
0.02,50.0,40.0,1e-06,0.6933423157894736
0.02,50.0,50.0,0.001,0.6933423157894736
0.02,50.0,50.0,0.0001,0.6933423157894736
0.02,50.0,50.0,1e-05,0.6933423157894736
0.02,50.0,50.0,1e-06,0.6933423157894736
0.02,50.0,75.0,0.001,0.693344
0.02,50.0,75.0,0.0001,0.693344
0.02,50.0,75.0,1e-05,0.693344
