p.adj.method	lib_cut	neg_lb	tol	max_iter	conserve	alpa	accuracy	f1_score
BH	80	FALSE	1e-06	175	FALSE	0.02	0.8944	0.290322580645161
BY	70	FALSE	1e-05	100	FALSE	0.02	0.8976	0.209876543209877
hommel	10	FALSE	1e-04	200	TRUE	0.1	0.9016	0.174496644295302
hochberg	0	TRUE	1e-06	100	FALSE	0.09	0.9008	0.205128205128205
bonferroni	20	TRUE	1e-05	150	TRUE	0.1	0.9024	0.175675675675676
hochberg	40	TRUE	1e-04	50	FALSE	0.08	0.9008	0.205128205128205
hochberg	20	FALSE	1e-05	75	FALSE	0.1	0.9008	0.205128205128205
BY	70	FALSE	1e-04	100	FALSE	0.03	0.8976	0.209876543209877
BY	50	TRUE	0.001	125	TRUE	0.06	0.9008	0.205128205128205
fdr	20	FALSE	1e-05	175	FALSE	0.04	0.8944	0.290322580645161
fdr	60	FALSE	1e-05	175	FALSE	0.1	0.8944	0.290322580645161
holm	80	TRUE	1e-05	75	FALSE	0.02	0.9008	0.205128205128205
BY	50	TRUE	1e-05	100	TRUE	0.06	0.9008	0.205128205128205
fdr	70	FALSE	1e-06	75	FALSE	0.06	0.8944	0.290322580645161
BY	70	TRUE	0.001	175	FALSE	0.06	0.8976	0.209876543209877
BH	100	TRUE	1e-04	100	FALSE	0.08	0.8944	0.290322580645161
BH	0	TRUE	0.001	100	FALSE	0.06	0.8944	0.290322580645161
fdr	50	FALSE	1e-04	75	FALSE	0.01	0.8944	0.290322580645161
bonferroni	50	TRUE	1e-06	75	FALSE	0.01	0.9008	0.194805194805195
bonferroni	10	TRUE	1e-05	75	FALSE	0.06	0.9008	0.194805194805195
hommel	60	FALSE	1e-05	125	FALSE	0.02	0.9008	0.205128205128205
hochberg	80	TRUE	1e-04	175	TRUE	0.08	0.9024	0.175675675675676
hochberg	100	TRUE	1e-06	150	FALSE	0.01	0.9008	0.205128205128205
bonferroni	70	TRUE	0.001	100	TRUE	0.02	0.9024	0.175675675675676
bonferroni	40	FALSE	0.001	125	FALSE	0.06	0.9008	0.194805194805195
hommel	60	FALSE	1e-06	200	TRUE	0.05	0.9016	0.174496644295302
BH	60	TRUE	1e-04	150	TRUE	0.03	0.8928	0.229885057471264
BH	0	FALSE	1e-05	50	FALSE	0.04	0.896	0.308510638297872
